link_stub,movie_title,rank_g_movies,lifetime_gross,rank_overall,year,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating
/title/tt0393597/?ref_=bo_cso_table_121,Earth,121,"$32,011,576","2,679",2009,"$32,011,576","$76,964,880","$108,976,456","$8,825,760",,2007-10-10,90.0,Walt Disney Studios Motion Pictures,Documentary,
/title/tt0482603/?ref_=bo_cso_table_124,Space Chimps,124,"$30,105,968","2,814",2008,"$30,105,968","$34,991,725","$65,097,693","$7,181,374","$37,000,000",2008-07-17,81.0,Twentieth Century Fox,"Adventure, Animation, Comedy, Family, Sci-Fi",
/title/tt1222815/?ref_=bo_cso_table_126,Chimpanzee,126,"$28,972,764","2,876",2012,"$28,972,764","$5,851,000","$34,823,764","$10,673,748",,2012-04-20,78.0,Walt Disney Studios Motion Pictures,"Documentary, Family",G
/title/tt0104940/?ref_=bo_cso_table_128,The Muppet Christmas Carol,128,"$27,381,507","2,971",1992,"$27,381,507","$5,192,875","$32,574,382","$5,010,109","$12,000,000",1992-12-11,85.0,Walt Disney Studios Motion Pictures,"Comedy, Drama, Family, Fantasy, Musical",
/title/tt1449283/?ref_=bo_cso_table_131,Winnie the Pooh,131,"$26,692,846","3,021",2011,"$26,692,846","$23,178,583","$49,871,429","$7,857,076","$30,000,000",2011-04-06,63.0,Walt Disney Studios Motion Pictures,"Adventure, Animation, Comedy, Drama, Family, Fantasy, Musical",
/title/tt0493949/?ref_=bo_cso_table_132,Ramona and Beezus,132,"$26,167,002","3,058",2010,"$26,167,002","$1,126,741","$27,293,743","$7,810,481","$15,000,000",2010-03-18,104.0,Twentieth Century Fox,"Comedy, Drama, Family, Fantasy",
/title/tt1680059/?ref_=bo_cso_table_133,Born to Be Wild,133,"$25,978,556","3,071",2011,"$25,978,556","$15,665,919","$41,644,475","$871,478",,2011-04-07,,Warner Bros.,"Adventure, Documentary, Short",
/title/tt0298388/?ref_=bo_cso_table_135,Jonah: A VeggieTales Movie,135,"$25,581,229","3,109",2002,"$25,581,229","$40,068","$25,621,297","$6,201,345","$14,000,000",2002-10-04,82.0,Artisan Entertainment,"Adventure, Animation, Comedy, Drama, Family, Musical",
/title/tt0032138/?ref_=bo_cso_table_137,The Wizard of Oz,137,"$24,668,669","3,192",1939,"$24,668,669","$969,000","$25,637,669",,"$2,777,000",1939-08-25,102.0,Metro-Goldwyn-Mayer (MGM),"Adventure, Family, Fantasy, Musical",PG
/title/tt0104254/?ref_=bo_cso_table_138,FernGully: The Last Rainforest,138,"$24,650,296","3,194",1992,"$24,650,296","$8,060,598","$32,710,894","$3,549,338",,1992-04-10,76.0,Twentieth Century Fox,"Adventure, Animation, Family, Fantasy, Musical",
