international_total_gross,domestic_total_gross,rank,movie_title,max_theaters,opening_theathers,worldwide_total_gross,domestic_opening,budget,release_date,runtime,distributor,genres,rating,link_stub
6804312,6804312,827,The Chipmunk Adventure,916.0,916.0,0,2584720,0,19870522,78.0,The Samuel Goldwyn Company,Adventure Animation Comedy Family Fantasy Musical,,/title/tt0092752/?ref_=bo_ge_table_27
2316333,6758416,828,Me and Earl and the Dying Girl,870.0,15.0,9074749,196496,8000000,20150612,105.0,Fox Searchlight Pictures,Comedy Drama,PG13,/title/tt2582496/?ref_=bo_ge_table_28
6621520,6621520,829,The Gong Show Movie,775.0,775.0,0,1476425,0,19800523,89.0,Universal Pictures,Comedy,,/title/tt0080808/?ref_=bo_ge_table_29
6491969,6491969,830,Teacher's Pet,2027.0,2027.0,0,2461252,0,20040116,73.0,Walt Disney Studios Motion Pictures,Adventure Animation Comedy Family Fantasy Music Musical,PG,/title/tt0350194/?ref_=bo_ge_table_30
6405918,6405918,831,Six Degrees of Separation,201.0,2.0,0,53058,0,19931210,112.0,MetroGoldwynMayer (MGM),Comedy Drama Mystery,R,/title/tt0108149/?ref_=bo_ge_table_31
127612,6363628,832,It's Kind of a Funny Story,757.0,742.0,6491240,2013406,8000000,20101008,101.0,Focus Features,Comedy Drama Romance,PG13,/title/tt0804497/?ref_=bo_ge_table_32
6321392,6321392,833,Little Miss Marker,472.0,472.0,0,853173,0,19800321,103.0,Universal Pictures,Comedy Drama Romance,,/title/tt0081063/?ref_=bo_ge_table_33
2546540,6217849,834,Ghost World,128.0,5.0,8764389,98791,7000000,20010720,111.0,MetroGoldwynMayer (MGM),Comedy Drama,R,/title/tt0162346/?ref_=bo_ge_table_34
6070725,6070725,835,Men Don't Leave,802.0,3.0,0,62419,0,19900202,115.0,Warner Bros.,Comedy Drama,,/title/tt0100134/?ref_=bo_ge_table_35
1975094,6010990,836,American Splendor,272.0,6.0,7986084,159705,0,20030807,101.0,Fine Line Features,Biography Comedy Drama,R,/title/tt0305206/?ref_=bo_ge_table_36
5017718,6002684,837,The Loft,1841.0,1841.0,11020402,2747342,0,20141015,108.0,Open Road Films (II),Mystery Romance Thriller,R,/title/tt1850397/?ref_=bo_ge_table_37
5958456,5958456,838,My Little Pony: The Movie,1003.0,421.0,0,416108,0,19860606,86.0,De Laurentiis Entertainment Group (DEG),Adventure Animation Family Fantasy Musical,,/title/tt0091584/?ref_=bo_ge_table_38
10954,5849647,839,The Transformers: The Movie,990.0,990.0,5860601,1779559,0,19860808,84.0,De Laurentiis Entertainment Group (DEG),Action Adventure Animation Family SciFi,,/title/tt0092106/?ref_=bo_ge_table_39
5835247,5835247,840,Night of the Living Dead,1544.0,1544.0,0,2884679,0,19901019,92.0,Columbia Pictures,Horror,,/title/tt0100258/?ref_=bo_ge_table_40
5781045,5781045,841,Bordello of Blood,1695.0,1694.0,0,2634170,0,19960816,87.0,Universal Pictures,Comedy Fantasy Horror,R,/title/tt0117826/?ref_=bo_ge_table_41
5778353,5778353,842,Sheena,1496.0,1496.0,0,2950114,0,19840817,117.0,Columbia Pictures,Adventure Fantasy,,/title/tt0088103/?ref_=bo_ge_table_42
5635204,5635204,843,Batman: Mask of the Phantasm,1506.0,1506.0,0,1189975,0,19931225,76.0,Warner Bros.,Action Adventure Animation Crime Family Mystery SciFi,PG,/title/tt0106364/?ref_=bo_ge_table_43
5520368,5520368,844,Aqua Teen Hunger Force Colon Movie Film for Theaters,877.0,877.0,0,3088000,750000,20070413,86.0,First Look International,Action Adventure Animation Comedy Fantasy SciFi,R,/title/tt0455326/?ref_=bo_ge_table_44
2158302,5501616,845,A Scanner Darkly,263.0,17.0,7659918,391672,0,20060707,100.0,Warner Independent Pictures (WIP),Animation Crime Drama Mystery SciFi Thriller,R,/title/tt0405296/?ref_=bo_ge_table_45
5349607,5349607,846,Creator,820.0,820.0,0,2019728,0,19850920,107.0,Universal Pictures,Comedy Romance SciFi,,/title/tt0088960/?ref_=bo_ge_table_46
5344577,5344577,847,Monkey Shines,1181.0,1181.0,0,1902024,0,19880729,113.0,Orion Pictures,Drama Horror SciFi Thriller,R,/title/tt0095652/?ref_=bo_ge_table_47
7515076,5178569,848,Alone in the Dark,2124.0,2124.0,12693645,2834421,20000000,20050128,99.0,Lionsgate,Action Horror SciFi,R,/title/tt0369226/?ref_=bo_ge_table_48
5107669,5107669,849,Solo,1230.0,1230.0,0,2228668,0,19960823,94.0,Sony Pictures Entertainment (SPE),Action SciFi Thriller,PG13,/title/tt0117688/?ref_=bo_ge_table_49
4960385,4960385,850,The Handmaid's Tale,177.0,117.0,0,738578,0,19900309,109.0,Cinecom Pictures,Drama Romance SciFi Thriller,,/title/tt0099731/?ref_=bo_ge_table_50
1800000,4950029,851,The Sun Is also a Star,2073.0,2073.0,6750029,2511530,0,20190516,100.0,Warner Bros.,Drama Music Romance,PG13,/title/tt6423362/?ref_=bo_ge_table_51
4889971,4889971,852,Rainbow Brite and the Star Stealer,1090.0,1088.0,0,1847962,0,19851115,85.0,Warner Bros.,Adventure Animation Family Fantasy SciFi,,/title/tt0089877/?ref_=bo_ge_table_52
4884663,4884663,853,Invaders from Mars,1212.0,1212.0,0,2046576,0,19860606,100.0,Cannon Film Distributors,Horror SciFi,,/title/tt0091276/?ref_=bo_ge_table_53
11395193,4781539,854,Just Visiting,1590.0,1590.0,16176732,2272489,35000000,20010406,88.0,Walt Disney Studios Motion Pictures,Adventure Comedy Fantasy,PG13,/title/tt0189192/?ref_=bo_ge_table_54
8322259,4775656,855,In the Name of the King: A Dungeon Siege Tale,1632.0,1632.0,13097915,3265000,0,20071129,127.0,Freestyle Releasing,Action Adventure Fantasy Thriller War,PG13,/title/tt0460780/?ref_=bo_ge_table_55
34446954,4772155,856,Absolutely Fabulous: The Movie,355.0,313.0,39219109,1861118,0,20160701,91.0,Fox Searchlight Pictures,Comedy Crime,R,/title/tt2112096/?ref_=bo_ge_table_56
4711220,4711220,857,King Kong Lives,1105.0,1105.0,0,1172942,0,19861219,105.0,De Laurentiis Entertainment Group (DEG),Action Adventure,,/title/tt0091344/?ref_=bo_ge_table_57
82195262,4563650,858,Snowpiercer,356.0,8.0,86758912,171187,0,20130801,126.0,RADiUSTWC,Action SciFi Thriller,R,/title/tt1706620/?ref_=bo_ge_table_58
4529843,4529843,859,McHale's Navy,1861.0,1858.0,0,2128565,0,19970418,108.0,Universal Pictures,Action Comedy,PG,/title/tt0119640/?ref_=bo_ge_table_59
4197729,4197729,860,Gloria,1527.0,1527.0,0,2143089,30000000,19990122,108.0,Sony Pictures Entertainment (SPE),Crime Drama Thriller,R,/title/tt0120683/?ref_=bo_ge_table_60
4189233,4189233,861,To Gillian on Her 37th Birthday,807.0,5.0,0,77725,0,19961018,93.0,Sony Pictures Entertainment (SPE),Drama Fantasy Romance,PG13,/title/tt0117924/?ref_=bo_ge_table_61
24139,4160851,862,Twin Peaks: Fire Walk with Me,692.0,691.0,4184990,1813559,0,19920828,134.0,New Line Cinema,Drama Horror Mystery Thriller,R,/title/tt0105665/?ref_=bo_ge_table_62
4064495,4064495,863,Tank Girl,1363.0,1341.0,0,2018183,25000000,19950331,104.0,MetroGoldwynMayer (MGM),Action Comedy SciFi,R,/title/tt0114614/?ref_=bo_ge_table_63
3957934,3957934,864,The Winslow Boy,141.0,6.0,0,80553,0,19990430,104.0,Sony Pictures Classics,Drama Romance,,/title/tt0155388/?ref_=bo_ge_table_64
15778,3860678,865,Trailer Park Boys: The Movie,203.0,181.0,3876456,1200000,0,20061006,95.0,Alliance Atlantis Vivafilm,Comedy Crime,R,/title/tt0425601/?ref_=bo_ge_table_65
3793614,3793614,866,Barb Wire,1312.0,1312.0,0,1844426,0,19960503,98.0,Gramercy Pictures (I),Action SciFi,R,/title/tt0115624/?ref_=bo_ge_table_66
687034,3775000,867,Batman: The Killing Joke,1325.0,,4462034,0,0,20160721,76.0,Fathom Events,Action Animation Crime Drama Thriller,R,/title/tt4853102/?ref_=bo_ge_table_67
43568490,3740823,868,A Monster Calls,1523.0,4.0,47309313,30909,0,20161007,108.0,Focus Features,Adventure Drama Family Fantasy Thriller,PG13,/title/tt3416532/?ref_=bo_ge_table_68
3560469,3560469,869,Tom and Jerry: The Great Escape,1045.0,1045.0,0,1255912,0,19930730,84.0,Miramax,Adventure Animation Comedy Family Musical,,/title/tt0105616/?ref_=bo_ge_table_69
3558669,3558669,870,The Bride,980.0,955.0,0,1763277,0,19850816,118.0,Columbia Pictures,Fantasy Horror Romance SciFi,,/title/tt0088851/?ref_=bo_ge_table_70
2813876,3526847,871,Blood and Chocolate,1200.0,1200.0,6340723,2074300,0,20070125,98.0,MetroGoldwynMayer (MGM),Drama Fantasy Horror Romance,PG13,/title/tt0397044/?ref_=bo_ge_table_71
3487767,3487767,872,Jeffrey,63.0,10.0,0,185909,0,19950804,92.0,Orion Classics,Comedy Drama,R,/title/tt0113464/?ref_=bo_ge_table_72
3468572,3468572,873,Talk Radio,653.0,6.0,0,80547,0,19881223,110.0,Universal Pictures,Drama Thriller,,/title/tt0096219/?ref_=bo_ge_table_73
862499,3430018,874,The Grand Seduction,124.0,8.0,4292517,41433,0,20140523,113.0,Entertainment One,Comedy,PG13,/title/tt2319580/?ref_=bo_ge_table_74
163256,3322127,875,Veronica Mars,347.0,291.0,3485383,1988351,6000000,20140313,107.0,Warner Bros.,Crime Drama Mystery Thriller,PG13,/title/tt2771372/?ref_=bo_ge_table_75
10582394,3075255,876,Chloe,350.0,350.0,13657649,900688,14000000,20100225,96.0,Sony Pictures Classics,Drama Mystery Romance Thriller,R,/title/tt1352824/?ref_=bo_ge_table_76
2977807,2977807,877,Love! Valour! Compassion!,,,0,0,0,19970516,108.0,Fine Line Features,Comedy Drama Romance,R,/title/tt0119578/?ref_=bo_ge_table_77
2886225,2886225,878,The Warrior and the Sorceress,238.0,238.0,0,574210,0,19840907,81.0,New World Pictures,Adventure Fantasy,,/title/tt0088379/?ref_=bo_ge_table_78
2742912,2742912,879,Desperate Hours,1033.0,1033.0,0,1367657,0,19901005,105.0,MetroGoldwynMayer (MGM),Action Crime Drama Thriller,,/title/tt0099409/?ref_=bo_ge_table_79
2654308,2654308,880,Kids in the Hall: Brain Candy,413.0,163.0,0,770280,0,19960412,89.0,Paramount Pictures,Comedy,R,/title/tt0116768/?ref_=bo_ge_table_80
2610686,2610686,881,Heathcliff: The Movie,,,0,0,0,19860117,73.0,Atlantic Releasing Corporation,Animation Comedy Family,,/title/tt0104401/?ref_=bo_ge_table_81
2608000,2608000,882,The Care Bears Adventure in Wonderland,1094.0,1094.0,0,1005386,0,19870807,80.0,Cineplex Odeon Films,Adventure Animation Comedy Family Fantasy Musical,,/title/tt0092723/?ref_=bo_ge_table_82
39499809,2546172,883,Bang Bang,271.0,271.0,42045981,1278690,0,20141002,153.0,FIP,Action Adventure Comedy Musical Romance Thriller,,/title/tt2905838/?ref_=bo_ge_table_83
2491989,2491989,884,The Stupids,1292.0,1292.0,0,1593929,0,19960830,94.0,New Line Cinema,Adventure Comedy,PG,/title/tt0117768/?ref_=bo_ge_table_84
5458621,2483472,885,Suspiria,311.0,2.0,7942093,184037,0,20181026,152.0,Amazon Studios,Drama Fantasy Horror Mystery Thriller,R,/title/tt1034415/?ref_=bo_ge_table_85
1244855,2405420,886,BloodRayne,985.0,985.0,3650275,1550000,25000000,20060106,95.0,Romar Entertainment,Action Fantasy Horror,R,/title/tt0383222/?ref_=bo_ge_table_86
2341309,2341309,887,Double Dragon,1087.0,1087.0,0,1376561,0,19941104,96.0,Gramercy Pictures (I),Action Adventure Comedy Fantasy SciFi,PG13,/title/tt0106761/?ref_=bo_ge_table_87
2280148,2280148,888,Noises Off...,451.0,451.0,0,981452,0,19920320,101.0,Walt Disney Studios Motion Pictures,Comedy,,/title/tt0105017/?ref_=bo_ge_table_88
