link_stub,rank,movie_title,lifetime_gross,max_theaters,opening_weekend,opening_theathers,release_date_x,distributor_x,domestic_total_gross,international_total_gross,worldwide_total_gross,domestic_opening,budget,release_date_y,runtime,distributor_y,genres,rating
/title/tt0131704/?ref_=bo_ge_table_5,605,The Adventures of Rocky & Bullwinkle,"$26,005,820","2,482","$6,814,270","2,460","Jun 30, 2000","Universal Pictures

",26005820,9129000,35134820,6814270,76000000,2000-06-30,92.0,Universal Pictures,"Adventure, Animation, Comedy, Family, Fantasy",PG
/title/tt0983193/?ref_=bo_ge_table_90,290,The Adventures of Tintin,"$77,591,831","3,087","$9,720,993","3,087","Dec 21, 2011","Paramount Pictures

",77591831,296402120,373993951,9720993,0,2011-10-26,107.0,Paramount Pictures,"Action, Adventure, Animation, Family, Mystery",PG
/title/tt0384806/?ref_=bo_ge_table_47,347,The Amityville Horror,"$65,233,369","3,323","$23,507,007","3,323","Apr 15, 2005","Metro-Goldwyn-Mayer (MGM)

",65233369,42283000,107516369,23507007,19000000,2005-04-14,90.0,Metro-Goldwyn-Mayer (MGM),Horror,R
/title/tt1985949/?ref_=bo_ge_table_5,205,The Angry Birds Movie,"$107,509,366","3,932","$38,155,177","3,932","May 20, 2016","Sony Pictures Entertainment (SPE)

",107509366,244824563,352333929,38155177,73000000,2016-05-11,97.0,Sony Pictures Entertainment (SPE),"Action, Adventure, Animation, Comedy, Family",PG
/title/tt6095472/?ref_=bo_ge_table_82,482,The Angry Birds Movie 2,"$41,667,116","3,869","$10,354,073","3,869","Aug 13, 2019","Sony Pictures Entertainment (SPE)

",41667116,106124931,147792047,10354073,65000000,2019-08-02,97.0,Sony Pictures Entertainment (SPE),"Action, Adventure, Animation, Comedy, Family",PG
/title/tt0115580/?ref_=bo_ge_table_57,757,The Associate,"$12,844,057","1,781","$4,261,304","1,781","Oct 25, 1996","Walt Disney Studios Motion Pictures

",12844057,12844057,0,4261304,0,1996-10-25,114.0,Walt Disney Studios Motion Pictures,Comedy,PG-13
/title/tt0118661/?ref_=bo_ge_table_29,629,The Avengers,"$23,384,939","2,466","$10,305,957","2,466","Aug 14, 1998","Warner Bros.

",23384939,23384939,0,10305957,60000000,1998-08-14,89.0,Warner Bros.,"Action, Adventure, Sci-Fi, Thriller",PG-13
/title/tt3691740/?ref_=bo_ge_table_91,391,The BFG,"$55,483,770","3,392","$18,775,350","3,357","Jul 1, 2016","Walt Disney Studios Motion Pictures

",55483770,139759641,195243411,18775350,140000000,2016-06-30,117.0,Walt Disney Studios Motion Pictures,"Adventure, Family, Fantasy",PG
/title/tt1877830/?ref_=bo_ge_table_100,100,The Batman,"$191,221,000","4,417","$134,008,624","4,417","Mar 4, 2022","Warner Bros.

",191221000,124200000,315421000,134008624,0,2022-03-01,176.0,Warner Bros.,"Action, Crime, Drama, Mystery",PG-13
/title/tt0106400/?ref_=bo_ge_table_61,461,The Beverly Hillbillies,"$44,029,386","2,162","$9,525,375","2,152","Oct 15, 1993","Twentieth Century Fox

",44029386,13375834,57405220,9525375,0,1993-10-15,92.0,Twentieth Century Fox,"Comedy, Family",PG
